"poppercent","upperbound"
3.5,1
10.69,4
12.62,9
11.38,14
10.44,19
9.3,24
8.32,29
7.07,34
6,39
5.21,44
4.46,49
3.61,54
2.63,59
1.76,64
1.36,69
0.85,74
0.49,79
0.22,84
0.06,89
0.01,94
