"poppercent","upperbound"
3.5,1
13.64,4
14.7,9
13.34,14
11.98,19
9.74,24
7.8,29
6.09,34
4.74,39
3.69,44
3.03,49
2.2,54
1.87,59
1.16,64
0.93,69
0.62,74
0.49,79
0.2,84
0.05,89
0.01,94
