"poppercent","upperbound"
3.5,1
8.68,4
11.63,9
11.24,14
10.67,19
9.94,24
9.18,29
7.44,34
4.76,39
5.59,44
4.26,49
3.52,54
2.89,59
2.17,64
1.69,69
0.83,74
1.32,79
0.68,90
