"poppercent","upperbound"
3.5,1
13.33,4
14.79,9
12.9,14
10.99,19
9.08,24
7.42,29
6.14,34
5.11,39
4.1,44
3.22,49
2.51,54
2.06,59
1.67,64
1.28,69
0.89,74
0.57,79
