"poppercent","upperbound"
3.5,1
12,4
14.05,9
12.51,14
10.76,19
9.12,24
8.03,29
7.01,34
5.8,39
4.53,44
3.54,49
2.75,54
2.11,59
1.58,64
1.18,69
0.79,74
0.46,79
0.21,84
0.06,89
0.01,94
