"poppercent","upperbound"
3.5,1
13.85,5
17.06,10
12.38,15
9.65,20
8.33,25
7.86,30
6.12,35
5.03,40
3.91,45
2.9,50
2.48,55
1.38,60
1.73,65
0.94,70
1.05,75
0.48,80
1.34,90
